"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","OBAMA","Alexandria Times","Newspaper",,,,"02/07/08",,,,,TRUE,"Alexandria Times (02/07/08)"
"2008R",2008,"R","McCAIN","The Fredericksburg Free Lance-Star","Newspaper",,,,"02/08/08",,,,,TRUE,"The Fredericksburg Free Lance-Star (02/08/08)"
"2008R",2008,"R","McCAIN","Danville Register & Bee","Newspaper",,,,"02/08/08",,,,,TRUE,"Danville Register & Bee (02/08/08)"
"2008R",2008,"R","McCAIN","Times Community newspapers","Newspaper",,,,"02/08/08","headquarters in Herndon",,,,TRUE,"Times Community newspapers (headquarters in Herndon) (02/08/08)"
"2008D",2008,"D","OBAMA","Honolulu Advertiser","Newspaper",,,,"02/17/08",,,,,TRUE,"Honolulu Advertiser (02/17/08)"
"2008D",2008,"D","OBAMA","Milwaukee Journal Sentinel","Newspaper",,,,"02/17/08",,,,,TRUE,"Milwaukee Journal Sentinel (02/17/08)"
"2008R",2008,"R","McCAIN","Milwaukee Journal Sentinel","Newspaper",,,,"02/17/08",,,,,TRUE,"Milwaukee Journal Sentinel (02/17/08)"
"2008D",2008,"D","CLINTON","The Athens News","Newspaper",,,,"02/18/08",,,,,TRUE,"The Athens News (02/18/08)"
"2008D",2008,"D","CLINTON","Akron Beacon Journal","Newspaper",,,,"02/24/08",,,,,TRUE,"Akron Beacon Journal (02/24/08)"
"2008D",2008,"D","OBAMA","The Plain Dealer - Cleveland","Newspaper",,,,"02/10/08",,,,,TRUE,"The Plain Dealer - Cleveland (02/10/08)"
"2008D",2008,"D","OBAMA","The Enquirer - Cincinnati","Newspaper",,,,"03/02/08",,,,,TRUE,"The Enquirer - Cincinnati (03/02/08)"
"2008D",2008,"D","OBAMA","Canton Repository","Newspaper",,,,"02/17/08",,,,,TRUE,"Canton Repository (02/17/08)"
"2008D",2008,"D","OBAMA","Dayton Daily News","Newspaper",,,,"02/25/08",,,,,TRUE,"Dayton Daily News (02/25/08)"
